,DMSO-CHX__vs_DMSO,U1-WT100-CHX_vs_DMSO,U1-WT100-CHX_vs_DMSO-CHX,U1-WT100-CHX_vs_WT100,U1-WT100-EtOH_vs_DMSO,U1-WT500-CHX_vs_DMSO,U1-WT500-CHX_vs_DMSO-CHX,U1-WT500-CHX_vs_WT500,U1-WT500-EtOH_vs_DMSO
NFKBIZ,1,1,0,1,0,1,0,1,0
ALCAM,1,1,0,0,0,1,0,1,0
CBLB,1,1,0,1,0,1,0,1,0
DUBR,0,0,0,0,0,1,0,0,0
MYH15,1,0,0,1,0,0,0,0,0
PLCXD2,1,1,0,1,0,1,0,1,0
TBILA,0,0,0,0,0,0,0,1,0
AC092692.1,0,1,0,1,0,1,0,1,0
CCDC80,1,0,0,1,0,0,0,0,0
CD200R1,1,0,0,0,0,0,0,0,0
AC078785.1,0,0,0,0,0,1,0,0,0
CFAP44,1,1,0,1,0,1,0,1,0
AC112128.1,1,1,0,1,0,1,0,1,0
SIDT1,1,1,0,1,0,1,0,1,0
USF3,0,1,0,0,0,1,0,1,0
CCDC191,1,1,0,1,0,1,0,1,0
QTRT2,1,1,0,1,0,1,0,1,0
AC026341.1,0,1,0,1,0,0,0,0,0
GAP43,1,0,0,1,0,1,0,1,0
LSAMP,1,0,0,1,0,1,0,1,0
IGSF11,1,1,0,1,0,1,0,1,0
UPK1B,0,1,0,0,0,1,0,0,0
ARHGAP31,0,0,0,0,0,1,0,0,0
POGLUT1,0,0,0,1,0,0,0,0,0
CD80,1,0,0,0,0,1,0,0,0
POPDC2,1,1,0,1,0,1,0,1,0
GSK3B,0,1,0,0,0,1,0,0,0
GPR156,1,1,0,1,0,1,0,1,0
FSTL1,1,1,0,1,0,0,0,0,0
AC072026.2,0,0,0,0,0,0,0,1,0
STXBP5L,1,0,0,1,0,0,0,0,0
AC079841.2,1,1,0,0,0,0,0,0,0
POLQ,1,0,0,1,0,0,0,0,0
CSTA,0,1,0,0,0,0,0,0,0
FAM162A,0,0,0,1,0,0,0,1,0
WDR5B,1,1,0,1,0,1,0,1,0
HSPBAP1,1,1,0,1,0,1,0,1,0
ADCY5,1,1,0,1,0,1,0,0,0
CCDC14,1,1,0,0,0,0,0,1,0
HEG1,1,1,0,1,0,1,0,1,0
AC092902.4,1,0,0,0,0,1,0,1,0
ENPP7P4,0,0,0,1,0,0,0,0,0
FAM86JP,1,1,0,1,0,1,0,1,0
KLF15,1,1,0,1,0,1,0,1,0
ZXDC,1,1,0,1,0,1,0,1,0
AC024558.2,1,1,0,1,0,1,0,1,0
PLXNA1,1,1,0,1,0,1,0,1,0
TPRA1,1,1,0,1,0,1,0,1,0
GATA2,1,1,0,1,0,1,0,1,0
AC112484.3,1,1,0,1,0,1,0,1,0
AC112484.1,1,1,0,1,0,1,0,1,0
AC112484.5,0,0,0,0,0,0,0,1,0
H1.10,0,0,0,0,0,1,0,0,0
H1FX.AS1,0,0,0,0,0,1,0,0,0
RPL32P3,1,1,0,1,0,1,0,1,0
EFCAB12,1,1,0,1,0,1,0,0,0
MBD4,1,1,0,1,0,0,0,0,0
FAM86HP,1,1,0,1,0,1,0,1,0
COL6A5,0,1,0,1,0,1,0,0,0
ASTE1,1,1,0,1,0,1,0,1,0
ACAD11,1,0,0,0,0,0,0,0,0
NPHP3.ACAD11,0,0,0,1,0,0,0,0,0
NPHP3,1,1,0,1,0,1,0,1,0
RAB6B,1,1,0,1,0,1,0,1,0
AC010207.1,0,0,0,0,0,1,0,0,0
AMOTL2,1,1,0,1,0,1,0,1,0
AC117382.1,0,0,0,0,0,1,0,0,0
SLC35G2,1,1,0,1,0,1,0,1,0
IL20RB,1,1,0,1,0,1,0,1,0
DZIP1L,1,1,0,1,0,1,0,1,0
DBR1,1,1,0,1,0,1,0,1,0
NME9,0,0,0,1,0,0,0,1,0
CEP70,1,1,0,1,0,1,0,1,0
PIK3CB,1,1,0,1,0,1,0,1,0
RBP1,0,0,0,1,0,0,0,0,0
NMNAT3,1,1,0,1,0,1,0,1,0
CLSTN2,0,1,0,0,0,1,0,0,0
PXYLP1,1,1,0,1,0,1,0,1,0
LINC02618,1,1,0,1,0,1,0,1,0
XRN1,1,0,0,1,0,0,0,1,0
ATR,1,1,0,1,0,1,0,1,0
AC109992.1,0,0,0,1,0,0,0,0,0
TRPC1,1,1,0,1,0,1,0,1,0
PAQR9,1,1,0,1,0,1,0,1,0
CHST2,1,1,0,1,0,1,0,1,0
AC107021.2,0,0,0,0,0,0,0,1,0
PLSCR4,1,1,0,1,0,1,0,1,0
ZIC1,1,1,0,1,0,1,0,1,0
AC093001.1,1,1,0,1,0,1,0,1,0
TSC22D2,1,1,0,1,0,1,0,1,0
ERICH6.AS1,0,1,0,1,0,0,0,1,0
IGSF10,1,1,0,1,0,1,0,1,0
P2RY1,1,1,0,0,0,1,0,1,0
RAP2B,1,1,0,1,0,1,0,1,0
C3orf33,1,1,0,1,0,1,0,1,0
AC084036.1,0,0,0,1,0,0,0,0,0
SSR3,1,0,0,0,0,0,0,1,0
TIPARP,1,1,0,1,0,1,0,1,0
CCNL1,1,1,0,1,0,1,0,1,0
LXN,0,0,0,0,0,1,0,0,0
AC080013.1,1,1,0,1,0,1,0,1,0
IL12A,1,1,0,0,0,1,0,1,0
AC112491.1,0,0,0,0,0,0,0,1,0
RPL23AP42,0,0,0,0,0,1,0,1,0
SLITRK3,1,1,0,1,0,1,0,1,0
BCHE,1,1,0,0,0,1,0,0,0
ZBBX,1,0,0,0,0,0,0,0,0
SERPINI1,0,1,0,0,0,1,0,1,0
GOLIM4,1,1,0,1,0,1,0,1,0
EGFEM1P,1,1,0,1,0,1,0,1,0
MECOM,0,1,0,1,0,1,0,0,0
RPL22P1,0,0,0,0,0,1,0,1,0
MYNN,1,1,0,1,0,1,0,1,0
LRRIQ4,0,0,0,1,0,0,0,1,0
GPR160,0,1,0,0,0,1,0,0,0
PHC3,1,0,0,0,0,0,0,0,0
SKIL,1,1,0,1,0,1,0,1,0
NAALADL2.AS2,0,0,0,0,0,1,0,0,0
ZMAT3,1,1,0,1,0,1,0,1,0
KCNMB3,1,1,0,1,0,1,0,1,0
LRRFIP1P1,1,1,0,1,0,1,0,1,0
GNB4,1,0,0,0,0,0,0,1,0
LAMP3,0,0,0,0,0,1,0,0,0
MCF2L2,1,1,0,1,0,0,0,1,0
B3GNT5,1,1,0,1,0,1,0,1,0
LINC00888,1,1,0,1,0,1,0,1,0
YEATS2,1,1,0,1,0,1,0,1,0
MAP6D1,0,0,0,0,0,0,0,1,0
ABCC5,0,0,0,1,0,0,0,0,0
EIF2B5,0,1,0,0,0,1,0,0,0
AP2M1,1,1,0,1,0,1,0,1,0
ABCF3,1,1,0,0,0,1,0,1,0
FAM131A,0,0,0,0,0,1,0,0,0
CLCN2,1,1,0,1,0,1,0,1,0
EPHB3,1,1,0,1,0,1,0,1,0
C3orf70,1,1,0,1,0,1,0,1,0
RPL4P4,0,0,0,0,0,1,0,1,0
LIPH,0,0,0,1,0,1,0,0,0
CRYGS,0,0,0,0,0,1,0,0,0
EIF4A2,1,1,0,1,0,1,0,1,0
RPS20P14,1,1,0,0,0,1,0,1,0
ST6GAL1,0,0,0,0,0,1,0,0,0
LPP.AS2,0,0,0,1,0,0,0,1,0
TPRG1,1,1,0,1,0,1,0,1,0
IL1RAP,1,1,0,1,0,1,0,1,0
GMNC,1,1,0,1,0,1,0,1,0
MB21D2,1,1,0,1,0,1,0,1,0
HES1,1,1,0,1,0,1,0,1,0
LINC00887,0,0,0,1,0,0,0,0,0
ATP13A3,1,1,0,1,0,1,0,1,0
TMEM44.AS1,1,1,0,1,0,1,0,1,0
TMEM44,1,1,0,1,0,1,0,1,0
MUC20.OT1,1,1,0,1,0,1,0,1,0
SDHAP2,1,1,0,1,0,1,0,0,0
SDHAP1,1,1,0,1,0,1,0,1,0
TFRC,1,1,0,1,0,1,0,1,0
AC069257.4,1,0,0,0,0,1,0,0,0
WDR53,1,1,0,1,0,1,0,0,0
PIGZ,0,1,0,0,0,0,0,0,0
AC011322.1,0,0,0,0,0,1,0,0,0
AC132008.2,1,1,0,1,0,0,0,1,0
IQCG,0,1,0,0,0,0,0,0,0
AC135893.1,1,0,0,1,0,0,0,1,0
ANKRD18DP,1,1,0,1,0,1,0,1,0
FAM157A,1,0,0,0,0,0,0,1,0
ABCA11P,1,1,0,1,0,1,0,0,0
ZNF721,1,1,0,1,0,1,0,1,0
PIGG,0,1,0,0,0,0,0,1,0
MYL5,1,1,0,1,0,1,0,1,0
DGKQ,1,1,0,1,0,1,0,1,0
SLC26A1,0,0,0,1,0,0,0,0,0
FGFRL1,1,1,0,1,0,1,0,1,0
CTBP1.AS,0,0,0,0,0,0,0,1,0
CTBP1,1,1,0,1,0,1,0,0,0
UVSSA,0,0,0,1,0,0,0,1,0
FAM53A,1,1,0,1,0,1,0,1,0
FGFR3,1,1,0,1,0,1,0,1,0
LETM1,0,0,0,1,0,0,0,1,0
C4orf48,1,1,0,1,0,0,0,0,0
NAT8L,1,1,0,1,0,1,0,1,0
POLN,1,1,0,1,0,1,0,1,0
HAUS3,1,1,0,1,0,1,0,1,0
MXD4,1,1,0,1,0,1,0,1,0
ZFYVE28,1,1,0,1,0,0,0,1,0
FAM193A,1,1,0,1,0,1,0,1,0
HTT,1,1,0,1,0,1,0,1,0
LINC02600,1,1,0,1,0,1,0,1,0
FAM86EP,0,0,0,1,0,0,0,0,0
TMEM128,1,1,0,1,0,1,0,1,0
ZBTB49,1,1,0,1,0,1,0,1,0
NSG1,1,0,0,0,0,1,0,0,0
STX18,1,1,0,1,0,1,0,0,0
AC092437.1,0,1,0,1,0,1,0,1,0
MSX1,1,0,0,1,0,0,0,1,0
CRMP1,0,1,0,0,0,1,0,0,0
JAKMIP1,1,1,0,1,0,1,0,1,0
LINC02495,0,0,0,0,0,0,0,1,0
AC116317.1,1,0,0,1,0,1,0,1,0
PPP2R2C,1,1,0,1,0,1,0,1,0
AC093323.1,0,0,0,1,0,0,0,1,0
LINC02481,1,1,0,1,0,1,0,1,0
KIAA0232,1,1,0,1,0,1,0,1,0
TBC1D14,1,1,0,1,0,1,0,1,0
AC097382.2,0,0,0,0,0,0,0,1,0
CCDC96,1,1,0,1,0,1,0,1,0
ABLIM2,1,1,0,1,0,1,0,1,0
TRMT44,1,1,0,1,0,1,0,1,0
AC105345.1,0,0,0,0,0,0,0,1,0
AC108519.1,1,0,0,0,0,0,0,0,0
AC073648.7,1,1,0,1,0,0,0,0,0
ZNF518B,0,0,0,1,0,0,0,0,0
FBXL5,1,1,0,1,0,1,0,1,0
FGFBP1,0,1,0,0,0,1,0,0,0
TAPT1,1,1,0,1,0,1,0,1,0
TAPT1.AS1,1,0,0,1,0,0,0,1,0
MED28,1,1,0,0,0,1,0,1,0
SLIT2,0,1,0,0,0,1,0,0,0
SLIT2.IT1,1,1,0,1,0,1,0,1,0
ADGRA3,1,1,0,1,0,1,0,1,0
PPARGC1A,1,1,0,1,0,1,0,1,0
CCDC149,0,0,0,0,0,1,0,0,0
SEPSECS,1,1,0,1,0,1,0,1,0
ZCCHC4,1,1,0,1,0,1,0,1,0
TBC1D19,0,0,0,1,0,0,0,0,0
PCDH7,1,0,0,0,0,0,0,0,0
ARAP2,0,1,0,0,0,0,0,0,0
AC027607.1,0,0,0,0,0,1,0,1,0
RELL1,1,1,0,1,0,1,0,1,0
TLR1,0,0,0,0,0,0,0,1,0
TLR6,0,0,0,1,0,0,0,0,0
FAM114A1,1,1,0,1,0,1,0,1,0
TMEM156,1,1,0,0,0,0,0,0,0
LIAS,1,1,0,1,0,1,0,1,0
AC108471.3,0,0,0,1,0,0,0,0,0
AC095057.3,0,0,0,0,0,1,0,1,0
RBM47,1,1,0,1,0,1,0,1,0
DCAF4L1,1,1,0,1,0,1,0,0,0
SHISA3,1,1,0,1,0,1,0,1,0
AC107068.1,1,0,0,1,0,0,0,1,0
NFXL1,1,1,0,1,0,1,0,1,0
NIPAL1,1,1,0,1,0,1,0,1,0
AC118282.4,0,1,0,0,0,0,0,0,0
AC119751.3,1,1,0,1,0,1,0,1,0
ANKRD20A17P,1,1,0,1,0,1,0,1,0
LRRC66,1,0,0,0,0,1,0,0,0
USP46,1,1,0,0,0,1,0,1,0
DANCR,1,0,0,0,0,0,0,0,0
PDGFRA,1,1,0,1,0,1,0,1,0
KIT,1,1,0,1,0,1,0,1,0
CEP135,1,0,0,0,0,0,0,0,0
CRACD,0,1,0,1,0,1,0,1,0
AASDH,1,1,0,1,0,1,0,1,0
ARL9,1,1,0,0,0,1,0,1,0
HOPX,0,0,0,1,0,0,0,1,0
POLR2B,1,1,0,1,0,1,0,1,0
IGFBP7,0,1,0,1,0,0,0,0,0
AC115223.1,1,0,0,1,0,0,0,1,0
EPHA5.AS1,0,0,0,1,0,0,0,0,0
AC116049.1,0,1,0,1,0,1,0,1,0
AC104806.2,0,0,0,1,0,0,0,0,0
CENPC,1,1,0,1,0,1,0,1,0
YTHDC1,1,1,0,1,0,1,0,1,0
UGT2B4,1,0,0,0,0,0,0,0,0
AMBN,1,0,0,0,0,0,0,0,0
UTP3,1,1,0,0,0,1,0,0,0
RUFY3,1,1,0,1,0,0,0,0,0
COX18,1,1,0,1,0,1,0,1,0
RASSF6,1,0,0,1,0,0,0,0,0
CXCL8,1,1,0,0,0,0,0,0,0
CXCL2,0,1,0,0,0,1,0,0,0
AC093677.2,0,1,0,1,0,0,0,1,0
AREG,1,1,0,1,0,1,0,1,0
THAP6,0,0,0,1,0,0,0,0,0
NAAA,1,1,0,1,0,1,0,1,0
SEPTIN11,1,0,0,0,0,1,0,1,0
CCNI,1,1,0,1,0,1,0,1,0
CCNG2,0,1,0,0,0,1,0,0,0
FRAS1,0,0,0,0,0,1,0,0,0
RASGEF1B,1,1,0,1,0,1,0,1,0
SCD5,1,1,0,1,0,0,0,1,0
THAP9.AS1,1,1,0,1,0,1,0,1,0
THAP9,1,1,0,1,0,1,0,1,0
HELQ,1,1,0,1,0,1,0,1,0
MRPS18C,1,1,0,1,0,1,0,1,0
GPAT3,0,0,0,0,0,1,0,0,0
AC079160.1,1,1,0,0,0,1,0,0,0
ARHGAP24,0,1,0,1,0,0,0,0,0
PTPN13,0,0,0,0,0,1,0,0,0
AC093827.5,0,0,0,1,0,0,0,0,0
HSD17B13,1,1,0,1,0,1,0,1,0
AC108516.2,0,0,0,0,0,1,0,0,0
HERC3,0,0,0,0,0,1,0,0,0
FAM13A.AS1,0,0,0,0,0,0,0,1,0
TIGD2,0,0,0,1,0,0,0,1,0
AC093866.1,0,1,0,0,0,1,1,0,1
SNCA,0,0,0,1,0,0,0,1,0
CCSER1,1,1,0,1,0,1,0,1,0
ATOH1,0,0,0,1,0,0,0,0,0
AC106881.1,0,1,0,1,0,1,0,1,0
RPL5P12,0,0,0,0,0,0,0,1,0
H2AZ1,1,0,0,0,0,0,0,0,0
AP001816.1,0,0,0,0,0,1,0,1,0
MANBA,1,1,0,1,0,1,0,1,0
LRRC37A15P,0,0,0,1,0,0,0,0,0
KRT8P46,1,1,0,1,0,1,0,1,0
LINC02428,1,1,0,1,0,1,0,1,0
TACR3,1,1,0,1,0,1,0,1,0
CXXC4,0,0,0,1,0,0,0,1,0
TET2,1,0,0,1,0,0,0,0,0
EEF1A1P9,0,0,0,1,0,0,0,0,0
NPNT,0,0,0,0,0,1,0,0,0
TBCK,1,1,0,1,0,1,0,1,0
PAPSS1,0,0,0,0,0,1,0,0,0
AC096564.1,1,0,0,1,0,0,0,1,0
RPL34,1,0,0,1,0,0,0,1,0
AC107071.1,1,1,0,1,0,1,0,1,0
COL25A1,0,0,0,0,0,1,0,0,0
MCUB,1,1,0,0,0,1,0,1,0
AC004067.1,0,0,0,0,0,1,0,1,0
PLA2G12A,1,1,0,0,0,1,0,1,0
CFI,0,1,0,0,0,1,0,0,0
LRIT3,1,0,0,0,0,0,0,0,0
PITX2,1,1,0,1,0,1,0,0,0
ZGRF1,1,1,0,1,0,1,0,1,0
ANK2,0,1,0,0,0,1,0,0,0
ARSJ,1,1,0,1,0,1,0,1,0
AC110079.1,1,1,0,1,0,1,0,1,0
METTL14,1,1,0,1,0,1,0,1,0
USP53,1,0,0,0,0,0,0,0,0
GTF2IP12,1,0,0,1,0,0,0,1,0
AC093752.1,1,1,0,1,0,1,0,1,0
PDE5A,0,0,0,1,0,1,0,0,0
NDNF,1,0,0,1,0,1,0,1,0
TMEM155,1,0,0,0,0,1,0,0,0
TRPC3,0,1,0,0,0,1,0,0,0
KIAA1109,1,1,0,1,0,0,0,1,0
BBS12,1,1,0,1,0,1,0,1,0
AC021205.3,1,1,0,1,0,1,0,1,0
SPRY1,1,0,0,1,0,0,0,0,0
FAT4,1,0,0,0,0,1,0,1,0
SLC25A31,0,0,0,0,0,0,0,1,0
MFSD8,1,1,0,1,0,1,0,1,0
LARP1B,1,0,0,0,0,0,0,0,0
LINC02615,1,1,0,1,0,1,0,1,0
JADE1,1,1,0,1,0,1,0,1,0
AC105383.1,1,0,0,0,0,0,0,0,0
PCDH10,1,1,0,1,0,1,0,1,0
AC015631.1,1,1,0,1,0,1,0,1,0
PABPC4L,0,0,0,1,0,0,0,0,0
SLC7A11,1,1,0,1,0,1,0,1,0
NOCT,1,1,0,1,0,1,0,1,0
RAB33B,1,1,0,1,0,1,0,1,0
H3P16,0,1,0,1,0,0,0,0,0
SCOC.AS1,0,0,0,0,0,1,0,0,0
CLGN,0,0,0,0,0,1,0,0,0
TNRC18P1,0,0,0,0,0,1,0,0,0
INPP4B,1,1,0,1,0,1,0,1,0
AC097658.2,1,0,0,0,0,0,0,0,0
HHIP,0,0,0,0,0,1,0,0,0
SMAD1,1,1,0,1,0,1,0,1,0
ZNF827,1,1,0,1,0,1,0,1,0
POU4F2,0,1,0,1,0,0,0,0,0
PRMT9,1,1,0,1,0,1,0,1,0
ARHGAP10,1,1,0,1,0,1,0,1,0
NR3C2,1,1,0,1,0,1,0,1,0
DCLK2,1,1,0,1,0,1,0,1,0
FAM160A1,0,0,0,0,0,1,0,0,0
TMEM154,0,0,0,0,0,1,0,0,0
TIGD4,1,1,0,1,0,1,0,1,0
TRIM2,1,1,0,0,0,1,0,1,0
FGG,0,1,0,1,0,0,0,0,0
GLRB,0,1,0,0,0,0,0,0,0
MSMO1,1,1,0,1,0,1,0,1,0
CPE,1,1,0,1,0,1,0,1,0
SPOCK3,0,0,0,0,0,1,0,0,0
MFAP3L,1,1,0,1,0,1,0,1,0
AADAT,1,1,0,1,0,1,0,1,0
AC034159.2,1,1,0,1,0,1,0,1,0
GPM6A,1,1,0,0,0,1,0,0,0
SPCS3,0,0,0,0,0,0,0,1,0
VEGFC,1,1,0,1,0,1,0,1,0
NEIL3,1,1,0,1,0,1,0,1,0
TENM3,1,1,0,0,0,1,0,1,0
WWC2.AS2,1,1,0,1,0,1,0,0,0
CDKN2AIP,1,1,0,1,0,1,0,1,0
ING2,1,1,0,1,0,1,0,1,0
AC074194.1,1,1,0,1,0,1,0,1,0
LINC02363,0,0,0,1,0,0,0,0,0
CASP3,1,1,0,1,0,1,0,1,0
ANKRD37,1,1,0,1,0,1,0,1,0
MTNR1A,0,1,0,0,0,0,0,0,0
AC093909.6,0,0,0,0,0,1,0,1,0
AGGF1P1,1,0,0,0,0,0,0,0,0
PLEKHG4B,0,0,0,1,0,0,0,1,0
AC021087.5,1,1,0,1,0,1,0,1,0
SLC9A3.AS1,1,1,0,1,0,1,0,0,0
CEP72,1,1,0,1,0,1,0,1,0
ZDHHC11B,1,1,0,1,0,1,0,1,0
AC026740.3,0,0,0,0,0,0,0,1,0
BRD9,1,1,0,1,0,1,0,1,0
AC116351.1,0,0,0,0,0,0,0,1,0
TERT,1,1,0,1,0,1,0,1,0
LPCAT1,1,0,0,1,0,1,0,1,0
AC091849.2,1,0,0,0,0,1,0,0,0
SDHAP3,1,1,0,1,0,1,0,1,0
AC091978.1,1,1,0,1,0,1,0,1,0
LINC02145,1,1,0,0,0,0,0,0,0
MED10,1,1,0,0,0,1,0,0,0
UBE2QL1,1,1,0,1,0,1,0,1,0
LINC02236,0,0,0,1,0,0,0,1,0
FASTKD3,1,1,0,1,0,1,0,1,0
AC012640.6,0,0,0,0,0,0,0,1,0
CMBL,1,0,0,0,0,1,0,1,0
MARCHF6,0,1,0,0,0,1,0,0,0
ANKRD33B,1,1,0,0,0,1,0,1,0
LINC01194,1,1,0,1,0,1,0,1,0
AC010491.1,1,1,0,0,0,0,0,0,0
ANKH,0,1,0,0,0,1,0,0,0
ZNF622,1,1,0,1,0,1,0,1,0
GUSBP1,1,1,0,1,0,1,0,1,0
CDH12,0,1,0,0,0,0,0,0,0
HSPD1P1,1,1,0,1,0,1,0,1,0
AC025178.2,0,0,0,0,0,0,0,1,0
GOLPH3,1,1,0,0,0,1,0,0,0
AC025181.2,1,1,0,1,0,1,0,1,0
AC010343.3,0,0,0,1,0,0,0,0,0
C1QTNF3,1,1,0,1,0,1,0,1,0
AC138409.2,1,1,0,1,0,1,0,1,0
AC026801.2,1,1,0,1,0,1,0,1,0
BRIX1,1,1,0,0,0,1,0,0,0
SPEF2,1,1,0,1,0,1,0,1,0
UGT3A2,1,0,0,0,0,1,0,0,0
CPLANE1,1,1,0,1,0,0,0,1,0
GDNF,1,1,0,1,0,1,0,1,0
LIFR,1,1,0,0,0,1,0,1,0
PTGER4,0,1,0,1,0,1,0,1,0
C5orf51,1,1,0,1,0,1,0,0,0
ANXA2R,1,1,0,1,0,1,0,1,0
ZNF131,1,1,0,1,0,1,0,1,0
NIM1K,0,0,0,0,0,1,0,0,0
HMGCS1,1,1,0,1,0,1,0,1,0
C5orf34,1,1,0,1,0,1,0,1,0
EEF1A1P19,0,0,0,0,0,1,0,0,0
PARP8,1,1,0,0,0,1,0,0,0
ISL1,0,1,0,0,0,1,0,0,0
ITGA2,1,1,0,1,0,1,0,1,0
AC008966.2,0,1,0,1,0,0,0,0,0
MOCS2,0,0,0,0,0,0,0,1,0
FST,1,0,0,0,0,0,0,0,0
LINC01033,0,0,0,0,0,1,0,0,0
ESM1,0,1,0,0,0,1,0,1,0
GPX8,1,1,0,1,0,1,0,1,0
MCIDAS,1,1,0,1,0,1,0,1,0
CCNO,0,1,0,1,0,0,0,1,0
RPL26P19,0,0,0,1,0,0,0,1,0
MAP3K1,1,1,0,1,0,1,0,1,0
PLK2,1,1,0,1,0,1,0,1,0
RAB3C,0,1,0,0,0,1,0,0,0
ZSWIM6,1,1,0,1,0,1,0,1,0
ADAMTS6,1,1,0,1,0,1,0,1,0
SHLD3,1,1,0,1,0,1,0,1,0
SREK1,1,1,0,1,0,1,0,1,0
CCNB1,1,0,0,1,0,0,0,1,0
AC022107.1,0,0,0,1,0,0,0,1,0
NAIPP3,1,1,0,1,0,1,0,1,0
GUSBP3,1,1,0,1,0,1,0,1,0
AC131392.1,1,1,0,1,0,1,0,1,0
NAIPP2,1,1,0,1,0,1,0,1,0
AC138866.2,1,1,0,1,0,1,0,1,0
AC138866.1,1,1,0,1,0,1,0,1,0
GTF2H2B,0,1,0,1,0,0,0,0,0
NAIPP1,1,1,0,1,0,1,0,1,0
AC146944.1,0,0,0,1,0,0,0,0,0
NAIP,1,1,0,1,0,1,0,1,0
OCLNP1,1,1,0,1,0,1,0,1,0
NAIPP4,1,1,0,1,0,1,0,1,0
GUSBP9,1,1,0,1,0,1,0,1,0
BDP1,1,0,0,1,0,0,0,0,0
MAP1B,0,0,0,0,0,1,0,0,0
PTCD2,1,1,0,1,0,1,0,1,0
FOXD1,0,1,0,0,0,1,0,0,0
UTP15,1,1,0,1,0,1,0,0,0
ARHGEF28,1,1,0,1,0,1,0,1,0
NSA2,0,0,0,1,0,0,0,1,0
GCNT4,1,1,0,1,0,1,0,1,0
ANKRD31,1,1,0,1,0,1,0,1,0
HMGCR,1,1,0,1,0,1,0,1,0
POLK,1,1,0,1,0,0,0,0,0
POC5,1,1,0,1,0,1,0,1,0
F2R,1,1,0,1,0,1,0,1,0
F2RL1,1,1,0,1,0,1,0,1,0
AGGF1,1,1,0,0,0,1,0,0,0
ZBED3.AS1,0,0,0,1,0,0,0,0,0
PDE8B,1,1,0,1,0,0,0,1,0
OTP,0,0,0,1,0,0,0,0,0
SCAMP1.AS1,1,1,0,1,0,1,0,1,0
LHFPL2,1,1,0,1,0,1,0,1,0
JMY,1,1,0,0,0,1,0,0,0
CMYA5,1,1,0,1,0,1,0,1,0
MTX3,1,0,0,1,0,0,0,0,0
SERINC5,1,0,0,0,0,0,0,0,0
RPS23,1,1,0,1,0,1,0,1,0
AC104118.1,0,0,0,1,0,0,0,0,0
VCAN,1,0,0,0,0,1,0,1,0
EDIL3,1,1,0,0,0,1,0,1,0
AC010595.1,1,1,0,1,0,1,0,1,0
COX7C,1,1,0,1,0,1,0,1,0
RASA1,0,1,0,0,0,1,0,0,0
TMEM161B,1,1,0,1,0,1,0,1,0
MBLAC2,0,0,0,1,0,0,0,0,0
ADGRV1,1,1,0,1,0,0,0,1,0
ARRDC3,1,1,0,1,0,1,0,1,0
NR2F1,0,0,0,0,0,1,0,0,0
FAM172A,1,1,0,1,0,1,0,1,0
NPM1P27,0,0,0,1,0,0,0,1,0
KIAA0825,1,1,0,1,0,1,0,1,0
SLF1,1,1,0,1,0,1,0,1,0
RFESD,1,1,0,1,0,1,0,0,0
GLRX,1,1,0,1,0,1,0,1,0
RIOK2,1,1,0,1,0,0,0,0,0
AC021086.1,0,0,0,1,0,0,0,0,0
ST8SIA4,0,0,0,0,0,1,0,1,0
SLCO6A1,1,1,0,0,0,1,0,1,0
LINC00491,1,1,0,1,0,1,0,1,0
GIN1,1,1,0,1,0,1,0,1,0
NUDT12,0,0,0,1,0,0,0,0,0
LINC02163,0,1,0,1,0,1,0,0,0
MAN2A1,1,1,0,1,0,1,0,1,0
TMEM232,0,0,0,1,0,0,0,0,0
EPB41L4A.AS1,1,1,0,1,0,1,0,1,0
YTHDC2,1,1,0,1,0,0,0,1,0
KCNN2,1,1,0,1,0,1,0,1,0
AC008494.3,0,0,0,0,0,0,0,1,0
AP3S1,0,0,0,1,0,0,0,1,0
LVRN,0,0,0,1,0,1,0,1,0
SEMA6A.AS1,1,1,0,0,0,1,0,1,0
PTMAP2,0,0,0,0,0,1,0,1,0
SRFBP1,1,1,0,1,0,1,0,1,0
ZNF474,1,1,0,1,0,1,0,1,0
PPIC,1,1,0,1,0,1,0,1,0
PRDM6,1,1,0,1,0,1,0,1,0
LINC01170,0,0,0,1,0,0,0,0,0
ZNF608,1,1,0,1,0,1,0,1,0
AC093535.1,0,0,0,0,0,1,0,0,0
FBN2,1,0,0,0,0,1,0,0,0
SLC27A6,0,1,0,1,0,1,0,0,0
ADAMTS19,1,1,0,1,0,1,0,1,0
CHSY3,1,1,0,1,0,1,0,0,0
HINT1,1,0,0,0,0,0,0,0,0
RAPGEF6,1,1,0,1,0,1,0,1,0
FNIP1,1,1,0,1,0,1,0,1,0
ACSL6,0,0,0,0,0,1,0,0,0
SLC22A4,1,1,0,1,0,1,0,1,0
AC116366.3,0,0,0,0,0,0,0,1,0
IRF1,1,1,0,1,0,1,0,1,0
KIF3A,0,1,0,0,0,1,0,0,0
SOWAHA,1,1,0,0,0,1,0,0,0
LEAP2,1,1,0,1,0,1,0,1,0
VDAC1,1,0,0,1,0,0,0,1,0
JADE2,1,0,0,0,0,0,0,0,0
PCBD2,0,0,0,1,0,0,0,1,0
CATSPER3,1,0,0,1,0,1,0,0,0
AC026691.1,0,0,0,1,0,0,0,0,0
AC109439.1,1,1,0,1,0,1,0,1,0
SPOCK1,0,0,0,0,0,1,0,1,0
KLHL3,0,0,0,1,0,0,0,0,0
HNRNPA0,1,1,0,1,0,1,0,1,0
