,BIO2197294-CHX_vs_DMSO,BIO2197294-CHX_vs_DMSO-CHX,BIO2197294-CHX_vs_7294,BIO2197294-EtOH_vs_DMSO,BIO2197294-EtOH_vs_U1_WT100_EtOH,BIO2197294-EtOH_vs_U1_WT500_EtOH,BIO2197294-CHX_vs_U1_WT100_CHX,BIO2197294-CHX_vs_U1_WT500_CHX,BIO2197294-EtOH_vs_U1_U1_mut1_100_EtOH,BIO2197294-EtOH_vs_U1_U1_mut1_500_EtOH,BIO2197294-CHX_vs_U1_U1_mut1_100_CHX,BIO2197294-CHX_vs_U1_U1_mut1_500_CHX,BIO2197294-EtOH_vs_U1_U1_mut2_100_EtOH,BIO2197294-EtOH_vs_U1_U1_mut2_500_EtOH,BIO2197294-CHX_vs_U1_U1_mut2_100_CHX,BIO2197294-CHX_vs_U1_U1_mut2_500_CHX
RPL12P28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02649,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFMBT2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GATA3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OPTN,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
MCM10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM107B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DCLRE1C,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MEIG1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
ACBD7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
RPP38,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM171A1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ITGA8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
VIM.AS1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
VIM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
STAM.AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
STAM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MRC1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CACNB2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL450384.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1915HG,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SKIDA1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MLLT10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PIP4K2A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR158,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
MYO3A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GAD2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL390961.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PDSS1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MASTL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MKX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAMBI,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SVIL.AS1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JCAD,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MTPAP,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF438,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KIF5B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL158834.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPC1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL365203.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRP1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
FZD8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HSD17B7P2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL133216.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00839,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC010864.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CSGALNACT2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RASGEF1A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF239,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF485,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF22.AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MARCHF8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAP10P,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM21FP,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAP4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PARGP1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAP7P,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAP14P,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL356056.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SHLD2P1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BMS1P1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAP13P,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GDF10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAP9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL591684.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BMS1P2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SHLD2P3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAP12P,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPK8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OGDHL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TIMM23B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TIMM23B.AGAP6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAP6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM21EP,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ASAH2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SGMS1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGMS1.AS1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ASAH2B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CSTF2T,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPDHP21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CABCOCO1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0
ARID5B,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
ZNF365,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EGR2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CTNNA3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIRT1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MYPN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
RUFY2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DNA2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM241B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AIFM2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
EIF4EBP2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PALD1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC5B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CDH23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CHST3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOCK2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DDIT4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DDIT4.AS1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NUDT13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC016394.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CFAP70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC073389.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AC073389.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AGAP5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022400.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022400.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022400.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BMS1P4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZSWIM8.AS1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF503.AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ZNF503,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC010997.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DLG5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
POLR3A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCCHC24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL132656.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUTM2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL512662.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BMS1P21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MBL1P,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ANXA11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRXL2A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNCG,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAP11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL136982.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL355334.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CFL1P1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RNLS,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
FAS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LIPA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL157400.2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
HTR7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1
HECTD2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TNKS2.AS1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SRP9P1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGFBP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BTAF1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
XRCC6P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AL139124.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NOC3L,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP2C18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CC2D2B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC021037.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BLNK,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SLIT1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RRP12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PGAM1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MARVELD1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFYVE27,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GOLGA7B,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
R3HCC1L,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LOXL4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PYROXD2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL391684.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AL133353.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DNMBP,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SCD,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SEC31B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL133352.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SLF2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TWNK,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
POLL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OGA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HPS6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PPRC1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PSD,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PCGF6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL139339.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SH3PXD2A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SFR1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFAP43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PDCD4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL158212.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PLEKHS1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADRB1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM160B1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFRA1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C10orf82,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL391988.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EMX2OS,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CASC2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NANOS1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RGS10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL21P16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FGFR2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PLEKHA1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CUZD1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC073585.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM24B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C10orf88,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IKZF5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HMX3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CHST15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OAT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC068896.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM53B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ABRAXAS2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL731577.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL731571.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
EDRF1.DT,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EDRF1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FANK1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
MKI67,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C10orf143,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PPP2R2D,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SCART1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP2E1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01001,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IFITM1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC136475.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AP006621.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AP006621.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PIDD1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MUC5B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DUSP8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP5.AS1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CTSD,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IGF2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNQ1OT1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSBPL5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF195,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC127526.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC127526.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CHRNA10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIM21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIM68,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022762.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FAM160A2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNGA4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
TRIM3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RRP8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DCHS1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF214,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NLRP14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFIBP2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TUB,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIM66,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL27A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DENND5A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC132192.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ADM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZBED5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GALNT18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MICAL2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTBD10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PTH,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC018523.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
INSC,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PLEKHA7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC116533.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RPS13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NUCB2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TPH1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2H1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LDHA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UEVLD,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SPTY2D1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM86A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
E2F8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC5A12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FIBIN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BBOX1.AS1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LGR4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BDNF,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARL14EP,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MPPED2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DCDC1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WT1.AS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL049629.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CD44,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC1A2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAMR1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAF6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC068205.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SEC14L1P1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ALX4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CHST1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02716,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRY2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CREB3L1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CHRM4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AMBRA1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARBI1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF408,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LRP4.AS1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
ARFGAP2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DDB2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NR1H3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FNBP4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PTPRJ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC109635.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC43A3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC43A1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERPING1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LPXN,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CNTF,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AP000437.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VWCE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM138,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CPSF7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PPP1R32,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SYT7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DAGLA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FADS2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FTH1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
INCENP,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AHNAK,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EEF1G,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LBHD1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPUL2.BSCL2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AP001160.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SNHG1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC3A2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RTN3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C11orf95,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AP006333.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PRDX5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NRXN2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CDC42BPG,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PPP2R5B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CDCA5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNHIT2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PGAM1P8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP003068.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TIGD3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EHBP1L1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MUS81,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FOSL1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
CNIH2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RIN1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC29A2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
RBM14.RBM4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RBM4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBM4B,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SPTBN2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RCE1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRFN4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RAD9A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSTP1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL37P2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM86C2P,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TCIRG1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGHMBP2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TPCN2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
