,U1-WT-500-BIO2197294_vs_DMSO,U1-WT-500-BIO2197294_vs_WT-500,U1-WT-500-Branaplam_vs_DMSO,U1-WT-500-Branaplam_vs_WT-500
EFL1P1,1,0,0,0
GOLGA6L4,1,1,0,0
GOLGA6L5P,1,1,0,0
AC048382.2,1,1,0,0
UBE2Q2P1,1,1,0,0
ZSCAN2,1,0,0,0
SCAND2P,1,1,0,0
NMB,0,1,0,0
ZNF592,0,1,0,0
DET1,0,1,0,0
AEN,1,1,0,0
HAPLN3,1,1,0,0
TICRR,1,1,0,0
WDR93,1,0,0,0
ANPEP,1,0,0,0
ZNF710.AS1,1,0,0,0
MAN2A2,1,1,0,0
LINC01578,1,1,0,0
AC013394.1,0,1,0,0
CHD2,1,1,0,0
RGMA,0,1,0,0
NR2F2.AS1,0,1,0,0
ARRDC4,0,1,0,0
HSP90B2P,1,0,0,0
ADAMTS17,0,1,0,0
AC027020.2,0,1,0,0
PRKXP1,1,1,0,0
LINS1,1,1,0,0
AC090164.5,1,1,0,0
WASH3P,1,1,0,0
IL9RP3,1,0,0,0
RHBDF1,1,1,0,0
LUC7L,1,0,0,0
WDR90,1,1,0,0
MAPK8IP3,1,1,0,0
EME2,1,1,0,0
E4F1,1,1,0,0
ABCA3,1,0,0,0
AC093525.4,0,1,0,0
AC093525.9,1,0,0,0
AC141586.1,1,1,0,0
PRSS27,1,1,0,0
CLDN6,0,1,0,0
HCFC1R1,0,1,0,0
ZNF200,1,1,0,0
ZNF75A,1,1,0,0
ZNF597,1,1,0,0
AC006111.2,1,1,0,0
NUDT16L1,1,0,0,0
ANKS3,1,1,0,0
ZNF500,1,1,0,0
METTL22,1,1,0,0
PMM2,1,1,0,0
AC022167.2,1,1,0,0
ATF7IP2,1,1,0,0
AC099489.1,0,1,0,0
SNN,1,1,0,0
ZC3H7A,1,1,0,0
NPIPB2,1,1,0,0
ERCC4,1,1,0,0
PDXDC1,0,1,1,1
RRN3,1,0,0,0
NPIPP1,1,1,0,0
AC139256.3,1,0,0,0
PKD1P6,1,1,0,0
PKD1P5,0,1,0,0
AC126755.3,1,0,0,0
ABCC6P1,1,1,0,0
SMG1,0,1,0,0
TMC7,0,1,0,0
REXO5,1,0,0,0
CRYM,1,0,0,0
CRYM.AS1,1,1,0,0
SNX29P1,1,1,0,0
NPIPB3,1,1,0,0
SMG1P3,1,1,0,0
AC092375.2,1,1,0,0
RRN3P1,1,1,0,0
NPIPB4,1,1,0,0
SMG1P4,1,1,0,0
RRN3P3,1,1,0,0
SMG1P1,1,1,0,0
NPIPB5,1,1,0,0
ZKSCAN2,0,1,0,0
IL21R,1,0,0,0
NPIPB6,1,1,0,0
NUPR1,1,0,0,0
NPIPB9,1,1,0,0
RRN3P2,1,1,0,0
SMG1P6,1,1,0,0
BOLA2,1,1,0,0
NPIPB12,1,1,0,0
SMG1P2,1,1,0,0
SLC7A5P1,1,1,0,0
AC009133.2,0,1,0,0
AC093512.2,1,0,0,0
TBX6,1,1,0,0
BOLA2B,0,1,0,0
SLX1A.SULT1A3,1,1,0,0
SULT1A3,1,1,0,0
NPIPB13,1,1,0,0
SMG1P5,1,1,0,0
ZNF764,1,1,0,0
ZNF689,1,1,0,0
FBXL19.AS1,1,0,0,0
ZNF668,1,0,0,0
ZNF646,1,1,0,0
AC135050.7,1,0,1,0
CLUHP3,1,1,0,0
ZNF267,1,1,0,0
ORC6,1,0,0,0
MYLK3,0,1,0,0
TENT4B,1,0,0,0
CHD9,0,1,0,0
IRX5,1,1,0,0
IRX6,1,0,0,0
MMP2,1,1,0,0
HERPUD1,1,1,0,0
ZNF319,1,1,0,0
MMP15,1,1,0,0
CMTM2,1,0,0,0
CMTM4,1,0,0,0
AC044802.1,0,1,0,0
TERB1,1,1,0,0
CES3,1,1,0,0
SLC9A5,1,1,0,0
LRRC36,1,1,0,0
LCAT,1,1,0,0
SLC12A4,1,1,0,0
AC130462.3,1,1,0,0
SLC7A6OS,1,1,0,0
AC099521.4,0,1,0,0
CDH1,1,0,0,0
HAS3,1,0,0,0
NFAT5,0,1,0,0
AC012321.1,0,1,0,0
AC092115.2,0,1,0,0
AC009022.1,1,1,0,0
NPIPB14P,1,1,0,0
PDXDC2P,1,1,0,0
PDPR,0,1,0,0
SMG1P7,1,1,0,0
ZNF23,1,1,0,0
AC010547.4,1,1,0,0
ZNF19,1,1,0,0
CHST4,1,0,0,0
TAT,1,0,0,0
ZNF821,1,0,0,0
TXNL4B,1,0,0,0
HP,1,0,0,0
PMFBP1,1,1,0,0
AC009120.2,0,1,0,0
AC009053.2,1,1,0,0
NPIPB15,1,1,0,0
CLEC18B,1,1,0,0
OSGIN1,1,1,0,0
TAF1C,0,1,0,0
ATP2C2.AS1,1,1,0,0
JPH3,1,0,0,0
AC010536.1,1,1,0,0
SLC7A5,1,1,0,0
BANP,1,0,0,0
AC138028.4,1,0,0,0
CDK10,1,1,0,0
SPATA2L,1,0,0,0
VPS9D1,1,0,0,0
MC1R,0,1,0,0
AFG3L1P,1,1,0,0
GAS8,1,1,0,0
FAM157C,1,1,0,0
LINC02193,1,1,0,0
AC240565.4,0,1,0,0
AC240565.3,1,1,0,0
C17orf97,0,1,0,0
RPS4XP17,1,1,0,0
RILP,0,1,0,0
SERPINF1,1,0,0,0
SMYD4,1,1,0,0
RTN4RL1,0,1,0,0
TRPV3,1,1,0,0
TRPV1,1,1,0,0
P2RX5,1,0,0,0
CAMKK1,1,0,0,0
CHRNE,1,0,0,0
ENO3,1,1,0,0
ZNF594,1,1,0,0
MIS12,1,1,0,0
AC007846.1,1,1,0,0
PITPNM3,0,1,0,0
KIAA0753,1,1,0,0
AC004706.3,1,1,0,0
BCL6B,1,0,0,0
CLDN7,1,1,0,0
AC026954.2,1,1,0,0
TMEM102,1,1,0,0
ATP1B2,1,1,0,0
KDM6B,1,1,0,0
CTC1,1,1,0,0
MYH3,1,1,0,0
ADPRM,1,1,0,0
ZNF18,1,1,0,0
AC005224.3,0,1,0,0
PMP22,1,0,0,0
TEKT3,0,1,0,0
CDRT1,1,0,1,0
UBE2SP1,0,1,0,0
ZNF287,1,1,0,0
AC005822.1,1,0,0,0
ZNF624,1,1,0,0
MPRIP,1,0,0,0
SREBF1,0,1,0,0
TOP3A,1,1,0,0
FBXW10,1,0,0,0
CCDC144CP,1,1,0,0
USP32P3,0,1,0,0
KCNJ12,1,1,0,0
LGALS9,1,1,0,0
AC002094.1,1,0,0,0
NEK8,1,1,0,0
ABHD15,1,1,0,0
CORO6,1,1,0,0
SLC6A4,1,1,0,0
SUZ12P1,1,1,0,0
AC127024.5,1,1,0,0
ATAD5,1,1,0,0
AC130324.3,1,1,0,0
RAB11FIP4,1,0,0,0
AC007923.1,1,1,0,0
LRRC37B,1,1,0,0
RHBDL3,1,1,0,0
ZNF830,1,1,0,0
PEX12,0,1,0,0
LRRC37A9P,0,1,0,0
TBC1D3B,1,1,0,0
AC233699.1,1,0,0,0
GGNBP2,1,1,0,0
MRM1,1,1,0,0
TADA2A,1,1,0,0
TBC1D3L,1,1,0,0
AC233968.1,1,1,0,0
SOCS7,1,0,0,0
EPOP,0,1,0,0
CWC25,1,1,0,0
CACNB1,1,1,0,0
AC009283.1,1,1,0,0
RAPGEFL1,1,1,0,0
RARA.AS1,1,1,0,0
AC080112.2,1,0,0,0
TTC25,1,1,0,0
ZNF385C,0,1,0,0
PSMC3IP,1,1,0,0
TUBG2,1,1,0,0
AC100793.2,1,0,0,0
WNK4,1,1,0,0
AOC2,1,1,0,0
AARSD1,1,0,0,0
PTGES3L.AARSD1,1,1,0,0
RUNDC1,1,0,0,0
LINC00910,1,0,0,0
MEOX1,1,0,0,0
MPP3,1,1,0,0
LINC01976,0,1,0,0
HROB,1,1,0,0
FZD2,1,0,0,0
C1QL1,0,1,0,0
MAP3K14,1,1,0,0
LRRC37A4P,1,1,0,0
AC091132.4,1,1,0,0
KANSL1,0,1,0,0
LRRC37A,1,1,0,0
NSFP1,1,1,0,0
LRRC37A2,1,1,0,0
LRRC37A17P,1,1,0,0
MRPL45P2,1,1,0,0
OSBPL7,1,1,0,0
COPZ2,1,0,0,0
HOXB2,1,1,0,0
HOXB3,1,1,0,0
HOXB6,1,0,0,0
AC007485.2,1,1,0,0
HLF,0,1,0,0
NOG,1,0,0,0
DGKE,1,0,0,0
TRIM25,1,1,0,0
AC091181.1,0,1,0,0
AC015813.1,0,1,0,0
TEX14,1,1,0,0
SMG8,1,0,0,0
PTRH2,1,1,0,0
HEATR6,1,1,0,0
PPM1D,1,1,0,0
TBX4,1,0,0,0
MED13,0,1,0,0
TLK2,1,0,0,0
TANC2,1,1,0,0
AC046185.3,0,1,0,0
POLG2,1,1,0,0
CEP95,1,1,0,0
ARHGAP27P1.BPTFP1.KPNA2P3,1,1,0,0
KPNA2P3,1,1,0,0
PLEKHM1P1,1,1,0,0
LRRC37A3,1,1,0,0
AC103810.2,1,1,0,0
KCNJ2,0,1,0,0
COG1,1,1,0,0
GGA3,0,1,0,0
RECQL5,0,1,0,0
UNK,1,1,0,0
AC087289.3,1,1,0,0
FBF1,1,1,0,0
CDK3,1,0,0,0
SNHG20,1,1,0,0
PGS1,1,0,0,0
DNAH17,1,0,1,0
USP36,1,1,0,0
LGALS3BP,0,1,0,0
LINC01977,1,0,0,0
TBC1D16,1,1,0,0
SGSH,1,1,0,0
SLC26A11,0,1,0,0
BAIAP2.DT,1,1,0,0
TEPSIN,0,1,0,0
AC027601.6,1,0,0,0
CCDC137,1,1,0,0
SIRT7,1,0,0,0
CCDC57,1,1,0,0
ROCK1P1,1,1,0,0
ENOSF1,1,1,0,0
EMILIN2,1,1,0,0
ZBTB14,1,1,0,0
LAMA1,1,0,0,0
TUBB6,0,1,0,0
PRELID3A,1,1,0,0
AP001029.2,1,0,0,0
CEP76,1,0,0,0
AP005482.4,1,1,0,0
CEP192,1,1,0,0
ANKRD20A5P,1,1,0,0
GATA6,1,1,0,0
RIOK3,1,1,0,0
LAMA3,1,1,0,0
HRH4,1,1,0,0
B4GALT6,1,0,0,0
MEP1B,1,1,0,0
KLHL14,1,1,0,0
NOL4,0,1,0,0
AC011815.2,1,0,0,0
ZNF396,1,1,0,0
FHOD3,1,0,1,1
KIAA1328,0,1,0,0
SYT4,1,0,0,0
EPG5,1,1,0,0
SMAD7,1,1,0,0
CFAP53,1,1,0,0
MAPK4,1,0,0,0
ELAC1,0,1,0,0
AC091551.1,1,1,0,0
POLI,1,1,0,0
WDR7.OT1,1,0,0,0
ALPK2,1,0,0,0
PMAIP1,1,1,0,0
RTTN,1,1,0,0
LINC00909,0,1,0,0
AC018413.1,1,0,0,0
ATP9B,0,1,0,0
AC125437.1,1,0,0,0
AC018445.3,0,1,0,0
AC090360.1,0,1,0,0
RBFADN,1,1,0,0
PARD6G,1,1,0,0
LINC01002,1,1,0,0
PLPPR3,1,1,0,0
CNN2,0,1,0,0
ABCA7,1,1,0,0
CBARP,1,1,0,0
EFNA2,0,1,0,0
PCSK4,1,1,0,0
PLK5,1,1,0,0
GADD45B,1,1,0,0
GNG7,1,0,0,0
ZNF554,1,1,0,0
ZNF555,1,1,0,0
ZNF57,1,1,0,0
AC005944.1,0,1,0,0
TBXA2R,0,1,0,0
SEMA6B,1,1,0,0
PTPRS,1,1,0,0
TINCR,1,1,0,0
PRR22,1,1,0,0
DUS3L,1,0,0,0
ALKBH7,0,1,0,0
TUBB4A,0,1,0,0
ZNF557,1,1,0,0
PCP2,1,0,0,0
AC010323.1,0,1,0,0
MYO1F,1,0,0,0
ADAMTS10,0,1,0,0
ZNF317,1,1,0,0
ZNF699,1,1,0,0
ZNF559,0,1,0,0
ZNF266,1,1,0,0
ZNF121,0,1,0,0
ZNF561,1,1,0,0
ZNF562,1,1,0,0
ZNF846,1,0,0,0
AC008752.4,0,1,0,0
FBXL12,1,1,0,0
P2RY11,1,1,0,0
ICAM4,1,1,0,0
ZGLP1,0,1,0,0
S1PR5,1,1,0,0
RAB3D,1,1,0,0
ZNF653,1,0,0,0
ZNF627,1,1,0,0
AC008543.1,1,1,0,0
ZNF887P,1,1,0,0
ZNF833P,1,1,0,0
ZNF823,1,0,0,0
ZNF441,1,1,0,0
ZNF700,1,1,0,0
ZNF433,1,1,0,0
ZNF20,1,1,0,0
ZNF136,1,1,0,0
AC012618.3,0,1,0,0
ZNF44,1,1,0,0
ZNF563,1,0,0,0
ZNF442,1,1,0,0
ZNF799,1,1,0,0
ZNF443,1,1,0,0
ZNF709,1,0,0,0
ZNF564,1,1,0,0
ZNF791,1,1,0,0
AC010422.7,0,1,0,0
TNPO2,1,1,0,0
JUNB,1,0,0,0
IER2,1,1,0,0
AC011446.2,1,1,0,0
CCDC130,1,1,0,0
CC2D1A,0,1,0,0
RFX1,1,1,0,0
DNAJB1,0,1,0,0
NDUFB7,0,1,0,0
ZNF333,1,1,0,0
ADGRE2,0,1,0,0
AKAP8,1,1,0,0
AKAP8L,1,0,0,0
C19orf44,1,1,0,0
MED26,1,1,0,0
HAUS8,1,1,0,0
BST2,1,0,0,0
AC007192.1,0,1,0,0
IFI30,1,0,0,0
PDE4C,0,1,0,0
JUND,1,1,0,0
GDF15,1,0,1,0
ELL,1,0,0,0
KLHL26,1,1,0,0
BORCS8.MEF2B,1,0,0,0
SUGP1,1,1,0,0
MAU2,1,1,0,0
TSSK6,0,1,0,0
PBX4,1,1,0,0
ATP13A1,1,1,0,0
ZNF101,1,0,0,0
ZNF14,1,1,0,0
ZNF506,1,1,0,0
ZNF85,1,1,0,0
ZNF430,1,1,0,0
ZNF431,1,1,0,0
ZNF708,1,1,0,0
ZNF493,0,1,0,0
ZNF429,1,1,0,0
ZNF100,1,1,0,0
ZNF492,0,1,0,0
ZNF724,1,1,0,0
ZNF91,1,1,0,0
ZNF675,1,1,0,0
ZNF681,1,1,0,0
GPATCH1,1,1,0,0
AC020910.5,1,1,0,0
ZNF181,1,1,0,0
HAUS5,0,1,0,0
AD000671.2,1,1,0,0
U2AF1L4,1,0,0,0
LRFN3,1,0,0,0
CLIP3,1,1,0,0
WDR62,1,1,0,0
ZNF565,1,0,0,0
ZNF566,1,1,0,0
ZNF260,0,1,0,0
ZNF529,1,1,0,0
ZNF382,1,1,0,0
ZNF461,1,1,0,0
ZNF567,1,1,0,0
ZNF790.AS1,1,1,0,0
ZNF790,1,1,0,0
ZNF345,0,1,0,0
ZNF829,1,1,0,0
ZNF568,1,1,0,0
ZNF420,1,1,0,0
ZNF585A,1,1,0,0
ZNF585B,1,1,0,0
ZNF383,1,1,0,0
ZNF875,1,1,0,0
ZNF527,1,1,0,0
ZNF570,1,1,0,0
ZNF793,0,1,0,0
ZNF540,1,1,0,0
ZNF571,1,1,0,0
ZNF607,1,1,0,0
SPRED3,1,1,0,0
CCER2,1,1,0,0
AC011445.1,0,1,0,0
AC005393.1,0,1,0,0
FBL,0,1,0,0
ZNF546,1,1,0,0
ZNF780B,0,1,0,0
ZNF780A,1,1,0,0
C19orf47,0,0,1,1
PRX,1,1,0,0
SERTAD1,1,1,0,0
ATP1A3,1,0,0,0
ZNF574,1,1,0,0
ZNF526,1,1,0,0
CIC,1,1,0,0
MEGF8,1,1,0,0
CNFN,1,1,0,0
LIPE.AS1,1,0,0,0
PHLDB3,1,0,0,0
PINLYP,1,1,0,0
SMG9,1,1,0,0
ZNF283,1,1,0,0
ZNF45,1,1,0,0
ZNF155,1,1,0,0
AC006213.4,0,1,0,0
ZNF230,1,1,0,0
ZNF222,1,1,0,0
ZNF223,1,1,0,0
ZNF284,1,1,0,0
ZNF224,1,1,0,0
ZNF225,1,1,0,0
ZNF234,1,1,0,0
ZNF226,1,1,0,0
ZNF227,1,1,0,0
ZNF235,1,1,0,0
ZNF112,1,1,0,0
ZNF285,0,1,0,0
ZNF180,1,1,0,0
CEACAM19,0,1,0,0
APOC1,0,1,0,0
CLASRP,1,1,0,0
PPP1R37,1,1,0,0
TRAPPC6A,1,0,0,0
PPM1N,0,1,0,0
GIPR,1,1,0,0
DMPK,0,1,0,0
SLC1A5,1,0,0,0
AC008622.2,0,1,0,0
TMEM160,0,1,0,0
CCDC9,1,0,0,0
EHD2,1,0,0,0
ELSPBP1,1,0,0,0
PLA2G4C,1,0,0,0
ZSWIM9,1,1,0,0
CARD8.AS1,1,1,0,0
ZNF114,1,1,0,0
EMP3,1,1,0,0
PPP1R15A,1,1,0,0
LIN7B,1,1,0,0
RRAS,0,1,0,0
PTOV1.AS2,1,1,0,0
ZNF473,1,1,0,0
AC010624.5,1,0,1,0
NAPSA,1,1,0,0
AC008655.2,1,1,0,0
SPIB,1,1,0,0
LRRC4B,1,0,0,0
SYT3,0,1,0,0
CLEC11A,0,1,0,0
ZNF577,1,1,0,0
ZNF649,1,1,0,0
ZNF613,1,1,0,0
ZNF350,1,1,0,0
ZNF615,1,1,0,0
ZNF432,1,1,0,0
ZNF841,1,1,0,0
ZNF616,1,1,0,0
ZNF836,1,1,0,0
ZNF766,1,1,0,0
ZNF480,1,0,0,0
ZNF880,1,1,0,0
ZNF528,1,0,0,0
ZNF808,1,0,0,0
ZNF701,1,1,0,0
ZNF137P,1,1,0,0
ZNF611,1,1,0,0
ZNF28,1,1,0,0
ZNF468,1,1,0,0
ZNF320,1,1,0,0
ZNF888,1,1,0,0
ZNF816,1,1,0,0
ZNF160,1,1,0,0
ZNF845,1,1,0,0
ZNF525,0,1,0,0
ZNF765,1,1,0,0
ZNF761,1,1,0,0
ZNF813,0,1,0,0
BRSK1,1,1,0,0
ZNF628,1,1,0,0
RFPL4A,0,1,0,0
ZNF582,1,1,0,0
ZNF582.AS1,1,1,0,0
ZNF583,1,1,0,0
ZNF471,1,1,0,0
ZFP28,0,1,0,0
ZNF470,1,1,0,0
ZNF264,1,1,0,0
ZNF460,1,1,0,0
ZNF543,1,1,0,0
ZNF304,1,1,0,0
ZNF547,1,1,0,0
ZNF548,1,1,0,0
ZNF17,1,1,0,0
ZNF749,1,1,0,0
ZNF772,1,1,0,0
ZNF419,1,1,0,0
AC003005.1,1,1,0,0
ZNF773,1,1,0,0
ZNF549,1,1,0,0
ZNF550,1,1,0,0
ZNF416,1,1,0,0
ZIK1,1,1,0,0
ZNF530,1,1,0,0
ZNF134,1,1,0,0
ZNF211,1,1,0,0
ZNF551,1,1,0,0
ZNF776,1,1,0,0
ZNF586,1,1,0,0
ZNF552,1,1,0,0
ZNF587B,1,1,0,0
ZNF814,1,1,0,0
ZNF587,1,1,0,0
ZNF417,1,1,0,0
ZNF418,1,1,0,0
ZNF256,1,1,0,0
ZNF606,1,1,0,0
ZNF329,1,1,0,0
ZNF274,1,1,0,0
AC020915.5,1,1,0,0
ZNF8,1,1,0,0
ZSCAN22,1,1,0,0
ZNF497,1,1,0,0
ZNF837,1,1,1,1
RPS5,0,1,0,0
ZNF584,1,0,0,0
MZF1.AS1,1,1,0,0
C20orf202,1,0,0,0
SNPH,1,0,0,0
SDCBP2.AS1,1,1,0,0
SIRPA,1,1,0,0
AL049650.2,1,1,0,0
ZNF343,1,1,0,0
NOP56,1,0,0,0
UBOX5,1,0,0,0
C20orf194,1,1,0,0
PANK2,1,1,0,0
GPCPD1,0,1,0,0
PLCB4,1,1,0,0
SNAP25,0,1,0,0
TASP1,1,1,0,0
NDUFAF5,1,1,0,0
MACROD2,1,1,0,0
FLRT3,1,0,0,0
SNX5,1,1,0,0
ZNF133,1,1,0,0
DZANK1,1,1,0,0
POLR3F,1,0,0,0
XRN2,0,0,1,1
NKX2.4,1,0,0,0
GZF1,1,1,0,0
NAPB,1,1,0,0
NINL,0,1,0,0
ZNF337,1,1,0,0
MCTS2P,0,1,0,0
ID1,1,1,0,0
MYLK2,1,0,0,0
PDRG1,1,0,0,0
PROCR,1,1,0,0
SOGA1,1,0,0,0
RBL1,1,1,0,0
VSTM2L,1,1,0,0
RPRD1B,0,1,0,0
TGM2,1,1,0,0
AL391095.2,0,1,0,0
SNHG17,1,1,0,0
SNHG11,1,1,0,0
ARHGAP40,1,0,0,0
PPP1R16B,1,0,0,0
DHX35,1,1,0,0
RPL23AP81,1,0,0,0
LPIN3,1,1,0,0
CHD6,1,1,0,0
SRSF6,1,0,0,0
L3MBTL1,1,1,0,0
LINC01260,1,0,0,0
RIMS4,1,1,0,0
PABPC1L,1,1,0,0
ZSWIM3,1,1,0,0
NEURL2,1,1,0,0
ZNF335,1,1,0,0
AL133227.1,0,1,0,0
AL031055.1,1,0,0,0
ZFAS1,1,1,0,0
B4GALT5,0,1,0,0
SLC9A8,1,1,0,0
NFATC2,1,0,0,0
CSTF1,1,0,0,0
CASS4,1,0,1,0
AL109806.2,0,1,0,0
CTCFL,1,0,0,0
PMEPA1,1,0,0,0
PPP4R1L,1,1,0,0
CDH26,1,1,0,0
COL9A3,1,0,0,0
GMEB2,1,0,0,0
RTEL1.TNFRSF6B,0,1,0,0
TNFRSF6B,1,0,0,0
AL121845.3,1,1,0,0
OPRL1,1,0,0,0
FP565260.6,0,1,0,0
CU633967.1,0,1,0,0
CU633906.7,1,1,0,0
CU638689.5,1,0,0,0
CU633904.2,0,1,0,0
FP671120.7,0,1,0,0
FP236383.4,0,1,0,0
FP236383.5,0,1,0,0
CR381670.1,1,1,0,0
SNX18P12,0,1,0,0
CR381653.2,1,1,0,0
BTG3,1,0,0,0
LTN1,1,1,0,0
SYNJ1,1,1,0,0
PAXBP1,1,1,0,0
OLIG2,1,1,0,0
AP000317.2,1,0,0,0
LINC00310,0,1,0,0
SETD4,1,1,0,0
MORC3,1,1,0,0
DYRK1A,1,0,0,0
LCA5L,1,1,0,0
PRDM15,1,1,0,0
ZBTB21,1,1,0,0
SIK1,0,1,0,0
PDXK,1,1,0,0
LRRC3,1,1,0,0
POFUT2,1,1,0,0
LINC01694,1,0,0,0
PRMT2,1,1,0,0
AC138776.1,1,1,0,0
ANKRD62P1,1,1,0,0
VWFP1,0,1,0,0
TUBA8,1,1,0,0
PI4KAP1,1,1,0,0
DGCR5,1,1,0,0
CLTCL1,1,1,0,0
AC000068.1,1,0,0,0
RTN4R,1,0,0,0
TUBA3FP,1,0,0,0
PI4KAP2,1,1,0,0
CCDC116,1,0,0,0
PPM1F,1,1,0,0
TOP3B,1,1,0,0
GNAZ,1,0,0,0
DRICH1,1,0,0,0
MIF,0,1,0,0
MIF.AS1,0,1,0,0
SPECC1L.ADORA2A,1,1,0,0
AL022324.2,1,1,0,0
LRP5L,1,1,0,0
AL008721.2,1,0,0,0
Z99774.1,1,1,0,0
PITPNB,1,1,1,1
KREMEN1,1,0,0,0
RHBDD3,1,1,0,0
LIF,1,0,0,0
AC004832.3,1,0,0,0
GAL3ST1,0,1,0,0
INPP5J,0,1,0,0
PIK3IP1,1,1,0,0
AL096701.3,1,1,0,0
PISD,1,1,0,0
RFPL3S,1,1,0,0
ELFN2,1,1,0,0
H1.0,1,1,0,0
C22orf23,1,0,0,0
PLA2G6,1,1,0,0
MAFF,1,0,0,0
KDELR3,0,1,0,0
FAM227A,1,1,0,0
AL021707.1,0,1,0,0
AL021707.6,1,1,0,0
NPTXR,1,0,0,0
CBX6,1,1,0,0
APOBEC3B,1,1,0,0
PDGFB,1,0,0,0
MGAT3,1,1,0,0
AL022238.4,1,1,0,1
RPL4P6,1,0,0,0
EP300,1,1,0,0
LINC01315,1,1,0,0
RRP7BP,1,1,0,0
TSPO,1,1,0,0
EFCAB6,0,1,0,0
SULT4A1,1,1,0,0
SHISAL1,1,0,0,0
PHF21B,1,1,0,0
NUP50.DT,0,1,0,0
FAM118A,1,1,0,0
RIBC2,1,0,0,0
Z97192.4,1,1,0,0
BRD1,1,1,0,0
MLC1,0,1,0,0
PANX2,1,1,0,0
HDAC10,1,0,0,0
DENND6B,0,1,0,0
SBF1,1,1,0,0
ADM2,1,0,0,0
CPT1B,1,1,0,0
CHKB.CPT1B,1,1,0,0
CHKB,1,1,0,0
AKAP17A,1,1,0,0
CD99P1,1,1,0,0
TCEANC,1,1,0,0
TRAPPC2,0,1,0,0
PIR,0,1,0,0
CA5B,1,1,0,0
ZRSR2,1,1,0,0
MAP3K15,0,1,0,0
SH3KBP1,1,0,0,0
BCLAF3,1,1,0,0
PRDX4,0,1,0,0
ZFX,1,1,0,0
TSPAN7,0,0,1,0
KDM6A,1,1,0,0
ZNF674,1,1,0,0
PGAM1P7,1,1,0,0
ZNF182,1,1,0,0
ZNF630,0,1,0,0
SLC38A5,0,1,0,0
FOXP3,0,1,0,0
USP27X,0,0,1,0
TSPYL2,1,1,0,0
FAM120C,0,1,0,0
PFKFB1,1,1,0,0
PAGE2B,1,0,0,0
TLE1P1,0,1,0,0
EDA2R,1,1,0,0
EFNB1,0,1,0,0
SLC7A3,1,0,0,0
RPS23P8,1,1,0,0
NLGN3,1,1,0,0
TAF1,1,1,0,0
HDX,1,1,0,0
ZNF711,1,1,0,0
ST13P18,0,1,0,0
TNMD,0,1,0,0
TMEM35A,1,0,0,0
DRP2,1,1,0,0
TAF7L,1,0,0,0
RPL36A.HNRNPH2,0,1,0,0
ZMAT1,0,1,0,0
TMSB15A,1,0,0,0
ESX1,1,1,0,0
COL4A5,1,0,0,0
RTL9,0,1,0,0
AL589880.1,0,1,0,0
HTR2C,0,1,0,0
AL391280.2,1,0,0,0
SLC25A43,1,1,0,0
AC005052.2,1,1,1,1
NKAPP1,1,0,0,0
TMEM255A,1,0,0,0
UTP14A,1,0,0,0
ZNF280C,0,1,0,0
FIRRE,1,1,0,0
GPC3,1,0,0,0
SMIM10L2A,1,1,0,0
INTS6L,1,1,0,0
RANP4,1,1,0,0
AL683813.2,1,1,0,0
AL390879.1,1,0,0,0
MAGEA9B,1,0,0,0
ABCD1,1,0,0,0
TMEM187,0,0,1,0
FLNA,0,1,0,0
PLXNA3,1,1,0,0
CLIC2,1,1,0,0
TMLHE.AS1,1,1,0,0
AKAP17A.1,1,1,0,0
CD99P1.1,1,1,0,0
